url,Subject of Dispute:,Economic Sector:,Instrument(s) Invoked:,Applicable Rules:,(a) Original Proceeding::Claimant(s)/Nationality(ies):,(a) Original Proceeding::Applicant(s)/Requesting Party(ies):,(a) Original Proceeding::Respondent(s):,(a) Original Proceeding::Date Registered:,(a) Original Proceeding::Date of Constitution of Tribunal:,(a) Original Proceeding:Composition of Tribunal:President:,(a) Original Proceeding:Composition of Tribunal:Arbitrators:,(a) Original Proceeding:Initial Composition of Tribunal:President:,(a) Original Proceeding:Initial Composition of Tribunal:Arbitrators:,(a) Original Proceeding:Initial Composition of Tribunal:Reconstituted:,(a) Original Proceeding:Party Representatives:Claimant(s):,(a) Original Proceeding:Party Representatives:Respondent(s):,(a) Original Proceeding:Party Representatives:Language(s) of Proceeding:,(a) Original Proceeding:Party Representatives:Status of Proceeding:,(a) Original Proceeding:Party Representatives:Outcome of Proceeding:,(a) Original Proceeding:Party Representatives:Latest Development:(b) Revision Proceeding::(b) Revision Proceeding	Claimant(s)/Nationality(ies):,(b) Revision Proceeding::Date Registered:,(b) Revision Proceeding::Date of Constitution of Tribunal:,(b) Revision Proceeding:Composition of Tribunal:President:,(b) Revision Proceeding:Composition of Tribunal:Arbitrators:,(b) Revision Proceeding:Party Representatives:,(b) Revision Proceeding:Party Representatives:Claimant(s):,(b) Revision Proceeding:Party Representatives:Respondent(s):,(b) Revision Proceeding:Party Representatives:Language(s) of Proceeding:,(b) Revision Proceeding:Party Representatives:Status of Proceeding:,(b) Revision Proceeding:Party Representatives :Outcome of Proceeding:,(c) Annulment Proceeding::Applicant(s)/Requesting Party(ies):,(c) Annulment Proceeding::Date Registered:,(c) Annulment Proceeding::Date of Constitution of ad hoc Committee:,(c) Annulment Proceeding:Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council):President:,(c) Annulment Proceeding:Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council):Arbitrators:,(c) Annulment Proceeding:Party Representatives:Claimant(s):,(c) Annulment Proceeding:Party Representatives:Respondent(s):,(c) Annulment Proceeding:Party Representatives:Language(s) of Proceeding:,(c) Annulment Proceeding:Party Representatives:Status of Proceeding:,(c) Annulment Proceeding:Party Representatives:Outcome of Proceeding:,(d) Supplementary Decision Proceeding::Claimant(s)/Nationality(ies):,(d) Supplementary Decision Proceeding::Date Registered:,(d) Supplementary Decision Proceeding:Party Representatives:Claimant(s):,(d) Supplementary Decision Proceeding:Party Representatives:Respondent(s):,(d) Supplementary Decision Proceeding:Party Representatives:Language(s) of Proceeding:,(d) Supplementary Decision Proceeding:Party Representatives:Status of Proceeding:,(d) Supplementary Decision Proceeding:Party Representatives :Outcome of Proceeding:,(e) Resubmission Proceeding::Claimant(s)/Nationality(ies):,(e) Resubmission Proceeding::Date Registered:,(e) Resubmission Proceeding::Date of Constitution of Tribunal:,(e) Resubmission Proceeding:Composition of Tribunal:President:,(e) Resubmission Proceeding:Composition of Tribunal:Arbitrators:,(e) Resubmission Proceeding:Initial Composition of Tribunal:President:,(e) Resubmission Proceeding:Initial Composition of Tribunal:Arbitrators:,(e) Resubmission Proceeding:Initial Composition of Tribunal:Reconstituted:,(e) Resubmission Proceeding:Party Representatives:Claimant(s):,(e) Resubmission Proceeding:Party Representatives:Respondent(s):,(e) Resubmission Proceeding:Party Representatives:Language(s) of Proceeding:,(e) Resubmission Proceeding:Party Representatives:Status of Proceeding:,(e) Resubmission Proceeding:Party Representatives:Outcome of Proceeding:,(f) Interpretation Proceeding::Claimant(s)/Nationality(ies):,(f) Interpretation Proceeding::Date Registered:,(f) Interpretation Proceeding:Party Representatives:Claimant(s):,(f) Interpretation Proceeding:Party Representatives:Respondent(s):,(f) Interpretation Proceeding:Party Representatives:Status of Proceeding:,(f) Interpretation Proceeding:Party Representatives:Outcome of Proceeding:,(g) Rectification Proceeding::Claimant(s)/Nationality(ies):,(g) Rectification Proceeding::Date Registered:,(g) Rectification Proceeding:Party Representatives:Claimant(s):,(g) Rectification Proceeding:Party Representatives:Respondent(s):,(g) Rectification Proceeding:Party Representatives:Status of Proceeding:,(g) Rectification Proceeding:Party Representatives:Outcome of Proceeding:,(h) Second Annulment Proceeding::Claimant(s)/Nationality(ies):,(h) Second Annulment Proceeding::Date Registered:,(h) Second Annulment Proceeding::Date of Constitution of Tribunal:,(h) Second Annulment Proceeding:Composition of Tribunal:President:,(h) Second Annulment Proceeding:Composition of Tribunal:Arbitrators:,(h) Second Annulment Proceeding:Party Representatives:Claimant(s):,(h) Second Annulment Proceeding:Party Representatives:Respondent(s):,(h) Second Annulment Proceeding:Party Representatives:Language(s) of Proceeding:,(h) Second Annulment Proceeding:Party Representatives:Status of Proceeding:,(h) Second Annulment Proceeding:Party Representatives:Outcome of Proceeding:,(a) Original Proceeding:Party Representatives:Latest Development:
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/21/21, Container terminal development, Transportation," BIT Egypt,  Arab Republic of - Kuwait 2001", ICSID Convention - Arbitration Rules," KGL International for Ports, Warehousing, and Transport K.S.C.C. (Kuwaiti)",, Arab Republic of Egypt (Egyptian)," April 30, 2021",,,,,,," Crowell & Moring, Washington, D.C., New York, NY, U.S.A. and London, U.K."," Egyptian State Lawsuits Authority, Cairo, Egypt",, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," April 30, 2021 - "
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/28, Port concession, Transportation, BIT Georgia - Netherlands 1998, ICSID Convention - Arbitration Rules, Bob Meijer (Dutch),, Georgia (Georgian)," August 11, 2020"," February 22, 2021",  (Belgian)  - Appointed by the Secretary-General,  (Swiss)  - Appointed by the Claimant(s),,,," Baker & Mackenzie, London, U.K.","BLC Law Office, Tbilisi, Georgia",," MG Law Office, Tbilisi, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of the Republic of Georgia
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/27, Mining concession," Oil, Gas & Mining", BIT Papua New Guinea - Australia 1990, ICSID Convention - Arbitration Rules, Barrick (PD) Australia Pty Limited (Australian),, Independent State of Papua New Guinea (Papua New Guinea)," August 11, 2020"," March 22, 2021",  (French)  - Appointed by the Chairman of the Administrative Council,  (U.S.)  - Appointed by the Claimant(s),,,," Debevoise & Plimpton, New York, NY, U.S.A."," Prime Minister of the Independent State of Papua New Guinea, National Capital District, Papua New Guinea",,"Minister for Mining, Office of the Minister, National Capital District, Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chief Secretary to the Government, Department of Prime Minister & National Executive Council, National Capital District, Papua New Guinea"
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/29, Real estate development, Construction, BIT Hungary - Switzerland 1988 - La Convention d’établissement et consulaire entre la Suisse et l’Italie (1869), ICSID Convention - Arbitration Rules, Human Rights Defenders Inc. (Seychelles),, Swiss Confederation (Swiss)," August 17, 2020"," January 13, 2021",  (British)  - Appointed by the Chairman of the Administrative Council,  (Argentine)  - Appointed by the Chairman of the Administrative Council,,,," Human Rights Defenders Inc., Bütschwil, Switzerland"," State Secretariat for Economic Affairs, Bern, Switzerland",,"Lalive, Geneva, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/26, Real estate project, Other Industry," BIT China - Korea,  Republic of 2007", ICSID Convention - Arbitration Rules, Fengzhen Min (Chinese),, Republic of Korea (Korean)," August 3, 2020"," February 1, 2021",  (British)  - Appointed by the Parties,  (Canadian)  - Appointed by the Claimant(s),,,," King and Spalding, Singapore, and Washington, D.C., U.S.A.","Hui Zhong Law Firm, Beijing, China",," Allen & Overy, Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yulchon, Seoul, Republic of Korea"
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/20/2, Telecommunications contract, Information & Communication," BIT Costa Rica - Venezuela,  Republica Bolivariana de 1997", ICSID Additional Facility - Arbitration Rules, José Alejandro Hernández Contreras (Venezuelan),, Republic of Costa Rica (Costa Rican)," August 18, 2020",,,,,,," WDA Legal, S.C., Miami, FL, U.S.A.","GCI Consultant, LLC, Miami, FL, U.S.A.",," Ministerio de Comercio Exterior (COMEX), San José, Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/30, Construction project, Construction, BIT Lithuania - Denmark 1992, ICSID Convention - Arbitration Rules, Donatas Aleksandravicius (Lithuanian),, Kingdom of Denmark (Danish)," August 18, 2020"," March 3, 2021",  (Austrian)  - Appointed by the Parties,"  (French, Swedish)  - Appointed by the Claimant(s)",,,," Motieka & Audzevicius, Vilnius, Lithuania"," Kammeradvokaten, Copenhagen, Denmark",, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," April 26, 2021 - "
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/31, Construction project, Construction, 2007 US Panama Trade Promotion Agreement (TPA), ICSID Convention - Arbitration Rules," IBT Group, LLC (U.S.), IBT, LLC (U.S.)",, Republic of Panama (Panamanian)," August 26, 2020"," December 11, 2020",  (Spanish)  - Appointed by the Parties,"  (Argentine, Portuguese)  - Appointed by the Claimant(s)",,,," Hughes Hubbard & Reed, Miami, Fl, U.S.A. and Washington, D.C., U.S.A."," Ministry of economy and Finances, Republic of Panama","Curtis, Mallet-Prevost, Colt and Mosle, Washington D.C., U.S.A."," English,Spanish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ADHOC/15/1, Real estate project, Services & Trade, , Ad Hoc,,,,,,,,,,,,,, Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/32, Construction project, Construction, BIT Turkmenistan - Turkey 1992, ICSID Convention - Arbitration Rules, Setta Insaat Taahhüt Turz. Tekstil Gida San. Ve Tic. AS  (Turkish),, Turkmenistan (Turkmen)," September 11, 2020",,,,,,," Juris Law, Ankara, Turkey","Koluman Law, Ankara, Turkey",," Squire Patton Boggs, New York, NY, U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pending
